,0,1
581,re_going,17
582,_like,17
583,breitbart,17
584,king,17
585,cher,17
586,feature_ngram_seth_rich,17
587,religious,16
588,force,16
589,breaking,16
590,congressional,16
591,december,16
592,groups,16
593,feature_ngram_mr,16
594,talk,16
595,open,16
596,_mr,16
597,safety,16
598,santa,16
599,process,16
600,rules,16
601,gowdy,16
602,bit,16
603,alleged,16
604,secretary,16
605,feature_ngram_russia_,16
606,feature_ngram_morning_,16
607,agent,16
608,scene,16
609,hollywood,16
610,self,16
611,stopped,16
612,religion,16
613,continue,16
614,crime,16
615,wrote,16
616,posted,16
617,stated,16
618,hurt,16
619,daily,16
620,feature_ngram_world_,16
621,step,16
622,impeachment,16
623,directly,16
624,illegal,16
625,phone,16
626,feature_ngram_d,16
627,feature_ngram_life_,16
628,super,16
629,technology,16
630,written,16
631,feature_ngram_like_,16
632,spicer,16
633,jefferson,16
634,t_,16
635,despite,16
636,feature_ngram_wasserman_schultz,16
637,traditional,16
638,host,16
639,texas,16
640,porn,16
641,islamic,16
642,sunday,16
643,michelle,16
644,normal,16
645,insurance,16
646,basically,16
647,condition,16
648,ask,16
649,message,16
650,mainstream,16
651,defense,16
652,statements,16
653,_source,16
654,killing,16
655,moon,16
656,feature_ngram_news_,16
657,hit,16
658,services,16
659,play,16
660,study,16
661,hired,16
662,close,16
663,daughter,16
664,finally,16
665,voters,16
666,blood,16
667,age,16
668,thought,16
669,experience,16
670,street,16
671,update,16
672,watson,16
673,idaho,16
674,facts,16
675,smoke,16
676,wearing,16
677,positive,16
678,organization,16
679,foster,16
680,bin,16
681,laden,16
682,statue,16
683,exercising,16
684,rubio,16
685,feature_ngram_office_,15
686,62,15
687,feature_ngram_president_donald,15
688,feature_ngram_fox_news,15
689,feature_ngram_think_,15
690,minute,15
691,solikearose,15
692,filed,14
693,shall,14
694,provide,14
695,feature_ngram_law_,14
696,cia,14
697,offer,14
698,official,14
699,broke,14
700,hot,14
701,cast,14
702,movement,14
703,vote,14
704,prevent,14
705,signatures,14
706,contained,14
707,california,14
708,property,14
709,offered,14
710,jobs,14
711,_new,14
712,employees,14
713,loss,14
714,result,14
715,employee,14
716,aide,14
717,believed,14
718,mueller,14
719,faith,14
720,revealed,14
721,general,14
722,driving,14
723,t_know,14
724,similar,14
725,star,14
726,version,14
727,willing,14
728,loved,14
729,opinion,14
730,feature_ngram_right_,14
731,happen,14
732,addition,14
733,remember,14
734,exactly,14
735,knows,14
736,guys,14
737,wife,14
738,cause,14
739,hell,14
740,feature_ngram_things_,14
741,_old,14
742,ex,14
743,watching,14
744,banned,14
745,including,14
746,changes,14
747,important,14
748,promised,14
749,staff,14
750,personal,14
751,continues,14
752,drugs,14
753,avoid,14
754,protests,14
755,claiming,14
756,protesters,14
757,leaving,14
758,memo,14
759,aired,14
760,buy,14
761,feature_ngram_wo_n,14
762,maybe,14
763,zakaria,14
764,large,14
765,jail,14
766,majority,14
767,weapons,14
768,paying,14
769,innocent,14
770,elections,14
771,usa,14
772,scandal,14
773,intelligence,14
774,simple,14
775,tweeted,14
776,die,14
777,chicago,14
778,crew,14
779,hope,14
780,possibly,14
781,commented,14
782,respect,14
783,regardless,14
784,fixed,14
785,waste,14
786,worth,14
787,documents,14
788,color,14
789,duties,14
790,situation,14
791,join,14
792,safe,14
793,governor,14
794,pregnant,14
795,claimed,14
796,attorney,14
797,county,14
798,indecent,14
799,exposure,14
800,lead,14
801,protest,14
802,ad,14
803,pipeline,14
804,west,14
805,whaling,14
